,Unnamed: 0,company,name,year,kms_driven,fuel_type,Price
0,0,Hyundai,Santro Xing XO eRLX Euro III,2007,45000,Petrol,80000.0
1,1,Hyundai,Grand i10 Magna 1.2 Kappa VTVT,2014,28000,Petrol,325000.0
2,2,Ford,EcoSport Titanium 1.5L TDCi,2014,36000,Diesel,575000.0
3,3,Ford,Figo,2012,41000,Diesel,175000.0
4,4,Hyundai,Eon,2013,25000,Petrol,190000.0
5,5,Ford,EcoSport Ambiente 1.5L TDCi,2016,24530,Diesel,830000.0
6,6,Maruti,Suzuki Alto K10 VXi AMT,2015,60000,Petrol,250000.0
7,7,Skoda,Fabia Classic 1.2 MPI,2010,60000,Petrol,182000.0
8,8,Maruti,Suzuki Stingray VXi,2015,30000,Petrol,315000.0
9,9,Hyundai,Elite i20 Magna 1.2,2014,32000,Petrol,415000.0
10,10,Mahindra,Scorpio SLE BS IV,2015,48660,Diesel,320000.0
11,11,Audi,Q7,2014,16934,Diesel,500000.0
12,12,Mahindra,Scorpio S10,2016,43000,Diesel,350000.0
13,13,Maruti,Suzuki Alto 800,2014,35550,Petrol,160000.0
14,14,Mahindra,Scorpio S10,2016,39522,Diesel,310000.0
15,15,Maruti,Suzuki Alto 800 Vxi,2015,39000,Petrol,75000.0
16,16,Hyundai,i20 Sportz 1.2,2012,55000,Petrol,100000.0
17,17,Maruti,Suzuki Alto 800 Lx,2017,72000,Petrol,190000.0
18,18,Maruti,Suzuki Vitara Brezza ZDi,2016,15975,Diesel,290000.0
19,19,Maruti,Suzuki Alto LX,2008,70000,Petrol,95000.0
20,20,Mahindra,Bolero DI,2017,23452,Diesel,180000.0
21,21,Maruti,Suzuki Swift Dzire ZDi,2014,35522,Diesel,385000.0
22,22,Mahindra,Scorpio S10 4WD,2015,48508,Diesel,250000.0
23,23,Maruti,Suzuki Swift Vdi BSIII,2017,15487,Petrol,180000.0
24,24,Maruti,Suzuki Wagon R VXi BS III,2013,39000,Petrol,105000.0
25,25,Maruti,Suzuki Wagon R VXi Minor,2013,39000,Petrol,105000.0
26,26,Toyota,Innova 2.0 G 8 STR BS IV,2012,82000,Diesel,650000.0
27,27,Renault,Lodgy 85 PS RXL,2018,20000,Diesel,689999.0
28,28,Skoda,Yeti Ambition 2.0 TDI CR 4x2,2012,68000,Diesel,448000.0
29,29,Maruti,Suzuki Baleno Delta 1.2,2017,32000,Diesel,549000.0
30,30,Renault,Duster 110 PS RxZ Diesel Plus,2012,38000,Diesel,501000.0
31,31,Renault,Duster 85 PS RxE Diesel,2013,27000,Diesel,489999.0
32,32,Honda,City 1.5 S MT,2011,33000,Petrol,280000.0
33,33,Maruti,Suzuki Dzire,2013,46000,Diesel,349999.0
34,34,Honda,Amaze,2013,46000,Diesel,284999.0
35,35,Honda,Amaze 1.5 SX i DTEC,2015,36000,Diesel,345000.0
36,36,Honda,City,2015,55000,Petrol,499999.0
37,37,Datsun,Redi GO S,2017,16000,Petrol,235000.0
38,38,Maruti,Suzuki SX4 ZXI MT,2010,36000,Petrol,249999.0
39,39,Mitsubishi,Pajero Sport Limited Edition,2015,47000,Diesel,1475000.0
40,40,Mahindra,Scorpio S10,2015,35000,Diesel,395000.0
41,41,Maruti,Suzuki Swift VXi 1.2 ABS BS IV,2017,30874,Petrol,220000.0
42,42,Honda,City ZX CVT,2017,15000,Diesel,170000.0
43,43,Maruti,Suzuki Wagon R LX BS IV,2013,29685,Petrol,85000.0
44,44,Tata,Indigo eCS LS CR4 BS IV,2017,130000,Diesel,200000.0
45,45,Mahindra,Scorpio SLE BS IV,2012,19000,Diesel,570000.0
46,46,Volkswagen,Polo Highline Exquisite P,2014,60000,Petrol,315000.0
47,47,Chevrolet,Spark LS 1.0,2010,41000,Petrol,110000.0
48,48,Renault,Duster 110PS Diesel RxZ,2012,35000,Diesel,501000.0
49,49,Honda,City,2015,54000,Petrol,448999.0
50,50,Mini,Cooper S 1.6,2013,13000,Petrol,1891111.0
51,51,Skoda,Fabia 1.2L Diesel Ambiente,2011,38200,Diesel,159500.0
52,52,Honda,Amaze,2015,22000,Petrol,344999.0
53,53,Renault,Duster,2014,50000,Diesel,449999.0
54,54,Mini,Cooper S 1.6,2013,13500,Petrol,1891111.0
55,55,Mahindra,Scorpio S4,2015,30000,Diesel,865000.0
56,56,Mahindra,Scorpio VLX 2WD BS IV,2014,50000,Diesel,699000.0
57,57,Mahindra,Quanto C8,2013,20000,Diesel,375000.0
58,58,Ford,EcoSport,2017,39000,Petrol,489999.0
59,59,Honda,Brio,2012,30000,Petrol,224999.0
60,60,Hyundai,i20 Magna,2009,32000,Petrol,195000.0
61,61,Toyota,Corolla Altis Diesel D4DG,2010,38000,Diesel,351000.0
62,62,Hyundai,Verna Transform SX VTVT,2008,45000,Petrol,160000.0
63,63,Toyota,Corolla Altis Petrol Ltd,2009,35000,Petrol,240000.0
64,64,Honda,City 1.5 EXi New,2005,50000,Petrol,90000.0
65,65,Skoda,Fabia 1.2L Diesel Elegance,2011,45863,Diesel,155000.0
66,66,BMW,3 Series 320i,2011,60500,Petrol,600000.0
67,67,Maruti,Suzuki A Star Lxi,2011,12500,Petrol,189500.0
68,68,Toyota,Etios GD,2013,60000,Diesel,350000.0
69,69,Ford,Figo Diesel EXI Option,2012,35000,Diesel,210000.0
70,70,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV,2014,35000,Petrol,390000.0
71,71,Chevrolet,Beat LT Diesel,2012,45000,Diesel,135000.0
72,72,BMW,7 Series 740Li Sedan,2009,35000,Petrol,1600000.0
73,73,Mahindra,XUV500 W8 AWD 2013,2013,38000,Diesel,701000.0
74,74,Hyundai,i10 Magna 1.2,2014,18000,Petrol,265000.0
75,75,Hyundai,Verna Fluidic New,2015,35000,Diesel,525000.0
76,76,Maruti,Suzuki Swift VXi 1.2 BS IV,2013,13349,Petrol,372000.0
77,77,Maruti,Suzuki Ertiga ZXI Plus,2016,29000,Petrol,635000.0
78,78,Ford,EcoSport Titanium 1.5L TDCi,2014,44000,Diesel,550000.0
79,79,Maruti,Suzuki Ertiga Vxi,2016,29000,Petrol,575000.0
80,80,Maruti,Suzuki Ertiga VDi,2013,42000,Diesel,485000.0
81,81,Maruti,Suzuki Alto LXi BS III,2012,14000,Petrol,155000.0
82,82,Hyundai,Grand i10 Asta 1.1 CRDi,2014,49000,Diesel,345000.0
83,83,Honda,Amaze 1.2 S i VTEC,2014,42000,Petrol,325000.0
84,84,Hyundai,i20 Asta 1.4 CRDI 6 Speed,2012,36200,Diesel,329500.0
85,85,Ford,Figo Diesel EXI,2014,50000,Diesel,195000.0
86,86,Maruti,Suzuki Eeco 5 STR WITH AC HTR,2015,55000,Petrol,251111.0
87,87,Maruti,Suzuki Ertiga ZXi,2014,45000,Petrol,569999.0
88,88,Maruti,Suzuki Esteem LXi BS III,2007,51000,Petrol,69999.0
89,89,Maruti,Suzuki Ritz VXI,2014,19000,Petrol,299999.0
90,90,Maruti,Suzuki Dzire,2009,46000,Petrol,220000.0
91,91,Maruti,Suzuki Ritz LDi,2013,33000,Diesel,399999.0
92,92,Maruti,Suzuki Dzire VDI,2015,104000,Diesel,450000.0
93,93,Toyota,Etios Liva G,2014,55000,Petrol,270000.0
94,94,Hyundai,i20 Sportz 1.4 CRDI,2011,33333,Diesel,350000.0
95,95,Chevrolet,Spark,2012,33600,Petrol,158400.0
96,96,Nissan,Micra XV,2011,41000,Petrol,179000.0
97,97,Maruti,Suzuki Swift,2007,70000,Petrol,125000.0
98,98,Honda,Amaze 1.5 S i DTEC,2013,45000,Diesel,299000.0
99,99,Maruti,Suzuki Alto 800 Vxi,2015,38000,Petrol,220000.0
100,100,Chevrolet,Beat,2015,30000,Petrol,150000.0
101,101,Honda,City 1.5 V MT,2010,35000,Petrol,285000.0
102,102,Ford,EcoSport Trend 1.5L TDCi,2016,24330,Diesel,830000.0
103,103,Hyundai,i20 Asta 1.2,2009,65480,Petrol,210000.0
104,104,Maruti,Suzuki Swift Dzire VXi 1.2 BS IV,2013,41000,Petrol,340000.0
105,105,Tata,Indica V2 eLS,2006,20000,Petrol,90000.0
106,106,Hindustan,Motors Ambassador,2000,200000,Diesel,70000.0
107,107,Toyota,Corolla Altis 1.8 GL,2010,70000,Petrol,289999.0
108,108,Toyota,Corolla Altis 1.8 J,2012,59000,Petrol,349999.0
109,109,Toyota,Innova 2.5 GX BS IV 7 STR,2012,99000,Diesel,849999.0
110,110,Volkswagen,Jetta Highline TDI AT,2014,46000,Diesel,749999.0
111,111,Volkswagen,Polo,2014,32000,Petrol,274999.0
112,112,Mahindra,Scorpio,2015,22000,Diesel,984999.0
113,113,Nissan,Sunny,2012,45000,Petrol,224999.0
114,114,Hyundai,Elite i20,2018,21000,Petrol,599999.0
115,115,Renault,Kwid,2016,11000,Petrol,244999.0
116,116,Renault,Duster,2013,41000,Diesel,399999.0
117,117,Renault,Duster,2014,50000,Diesel,474999.0
118,118,Mahindra,Scorpio VLX Airbag,2011,66000,Diesel,499999.0
119,119,Chevrolet,Spark LT 1.0,2010,45000,Petrol,85000.0
120,120,Maruti,Suzuki Swift RS VDI,2010,38500,Diesel,189500.0
121,121,Fiat,Punto Emotion 1.2,2012,37200,Diesel,169500.0
122,122,Maruti,Suzuki Swift RS VDI,2010,43200,Diesel,159500.0
123,123,Toyota,Etios GD,2013,24800,Petrol,275000.0
124,124,Hyundai,i20 Sportz 1.4 CRDI,2014,60000,Diesel,370000.0
125,125,Hyundai,i10 Sportz 1.2,2010,45872,Petrol,168000.0
126,126,Chevrolet,Beat LT Opt Diesel,2011,40000,Diesel,150000.0
127,127,Chevrolet,Beat LS Diesel,2011,45000,Diesel,145000.0
